fulfillment_id,order_id,fulfillment_date,status,warehouse,product_name,product_department,product_category
4d111bdf-154d-4397-abab-2a78a6380e95,c7f8dd44-0c22-4b2b-9cc1-ec98cf6d2add,2025-06-09,Cancelled,Global Logistics Co.,Dyson V15 Detect Plus Cordless Vacuum,Home & Kitchen,Cordless Vacuums
d9ae78d8-af41-4b38-8811-bfd43208f54e,09b52139-1cee-4e86-ac5a-375647ae39ec,2023-10-18,Cancelled,Dynamic Distributors,Zulay Powerful Milk Frother,Kitchen & Dining,Milk Frothers
4cee4701-8018-4020-bc4e-65579612f264,c75eb7dd-e133-4654-8113-e6c5b6fe5179,2025-09-23,Delivered,Tech Innovations Ltd.,essence Lash Princess False Lash Effect Mascara,Beauty & Personal Care,Mascaras
e790430c-a9e9-44d6-b00f-64cb71669767,ee0ba23d-1704-49b7-bfe1-5e24db321cf0,2021-12-12,Delivered,Tech Innovations Ltd.,Sol De Janeiro Hair & Body Fragrance Mist,Beauty & Personal Care,Body Mists
a909fcf2-67c1-446c-b02d-d15d3664ab9f,43359424-16c2-4e11-bf56-e85749cf14b9,2025-04-04,Cancelled,Express Shipping Corp.,essence Lash Princess False Lash Effect Mascara,Beauty & Personal Care,Mascaras
a1bdd545-cf67-45e5-871c-e4e39148ff85,516a00e1-24d6-4b78-a387-ad9e606823b6,2025-01-23,Cancelled,Prime Warehouse Solutions,MEATER Plus Long Range Wireless Smart Meat Thermometer,Kitchen & Dining,Meat Thermometers
83b231d2-2e8f-4af4-8fd4-4b2e3a39422e,06807ae2-1fe9-41dd-9069-930597c50d02,2022-10-26,Shipped,Tech Innovations Ltd.,Owala 40-ounce FreeSip Insulated Stainless Steel Water Bottle,Health & Household,Water Bottles
dbdc28d6-bc29-496e-a4fc-507e18f59fb8,fe94935c-12fd-41f8-bf9e-21420aaa8847,2023-01-19,Cancelled,ABC Electronics,Mielle Rosemary Mint Growth Oil,Beauty & Personal Care,Hair Oils
398a655e-d432-48df-ac9b-cfead9cbcce6,f7b6cca2-16a6-4ff4-84e6-9b5da5a99fff,2022-02-01,Shipped,Express Shipping Corp.,Lumineux Teeth Whitening Strips,Health & Household,Teeth Whitening
de7771c3-ba65-44fc-9025-08f4e591fdaa,e31591d0-cffb-4b18-9701-73cd9342e348,2025-05-22,Shipped,Global Logistics Co.,Le Creuset Stoneware Mugs,Kitchen & Dining,Mugs
ba933280-b833-4a1a-8f38-b8ecde40f804,53039e93-2626-4cf3-a55d-66613f36102a,2023-04-17,Cancelled,Tech Innovations Ltd.,Lumineux Teeth Whitening Strips,Health & Household,Teeth Whitening
d98e8f72-4c79-4ed7-a7c9-6b8a025ee95b,86e18bca-7f4d-4fba-9124-f94e3af4f5bd,2022-12-15,Shipped,Express Shipping Corp.,Beast Mini Blender Plus,Kitchen & Dining,Blenders
32b90aef-43c8-4e58-8122-aa7e0de8a11e,4bca5e86-151f-473f-98ff-f17197069e98,2021-02-01,Cancelled,ABC Electronics,KitchenAid 5-Quart Tilt Head Stand Mixer,Kitchen & Dining,Stand Mixers
39929fd6-84db-47dc-a883-f8805157901e,01ba9fb5-72ce-437b-b724-dd3e0ec18d12,2021-06-25,Shipped,Express Shipping Corp.,Lumineux Teeth Whitening Strips,Health & Household,Teeth Whitening
29264aa8-c14a-48d7-9efa-0cbe77dd09c9,c289104a-1c5e-41d8-bf5c-11f189d9770c,2023-05-19,Pending,Global Logistics Co.,Owala 40-ounce FreeSip Insulated Stainless Steel Water Bottle,Health & Household,Water Bottles
a1f61a59-7ec4-4138-9366-32fe09b24680,62a95ef0-7dd9-4cca-838d-fd43a5fdb69c,2025-08-18,Cancelled,ABC Electronics,Owala 40-ounce FreeSip Insulated Stainless Steel Water Bottle,Health & Household,Water Bottles
102ec5a2-84d8-4b24-8700-e5a593e3f076,779f193f-f732-4074-abf4-29dac0323395,2025-07-21,Pending,Prime Warehouse Solutions,Chom Chom Roller Pet Hair Remover,Pet Supplies,Pet Hair Removers
33a71ddb-74ef-4202-ac64-cf2627ba1ed6,81bb37bf-5fa5-46c9-bb3f-804f05fb8481,2024-01-08,Pending,Supreme Goods Inc.,KitchenAid 5-Quart Tilt Head Stand Mixer,Kitchen & Dining,Stand Mixers
121d8af7-f6d3-4d5b-a482-0fad1e2a5924,e53bf7eb-5bdc-4403-b573-71cd973d4728,2023-01-21,Pending,ABC Electronics,Breville Barista Express Espresso Machine,Kitchen & Dining,Espresso Machines
68593ed8-caef-4e38-8aa6-ac1bff1ef96b,b3f84659-78c3-4a93-94e4-436fea34804a,2022-09-05,Shipped,Elite Retailers,Dyson V15 Detect Plus Cordless Vacuum,Home & Kitchen,Cordless Vacuums
7d6790b5-3644-4f66-8551-f8389fbbfbbb,c470ace1-c67d-4c69-91af-1cc603795150,2020-10-08,Delivered,Supreme Goods Inc.,Apple iPad (10th Generation),Electronics,Tablets
1330a9be-33ed-4067-af28-3349b8ea2fca,0ae35080-c32e-4250-9431-b7fc10688bfa,2022-06-26,Cancelled,Dynamic Distributors,iRobot Roomba 692 Robot Vacuum,Home & Kitchen,Robot Vacuums
233526cd-181a-44ef-b3e3-2376f9dbca5d,511141e6-94ab-4c31-9e68-055f751f3a3c,2021-02-18,Pending,Prime Warehouse Solutions,Hero Cosmetics Mighty Patch Original,Beauty & Personal Care,Acne Treatments
07d8b1b3-d8ee-430b-b707-f0f96acbd77f,72ebb27b-70b4-4623-ad4a-c6dcb89f3f76,2025-10-21,Pending,NextGen Logistics,Owala 40-ounce FreeSip Insulated Stainless Steel Water Bottle,Health & Household,Water Bottles
1060782d-f7c3-446a-a545-acd027a54621,7e311348-f982-4eb2-a3c4-77e25deaf6f5,2022-07-11,Cancelled,Tech Innovations Ltd.,Chom Chom Roller Pet Hair Remover,Pet Supplies,Pet Hair Removers
b4d4fe79-3fbb-445e-9f5b-4a480d717ea9,7590e8ad-368f-4ea3-95ee-18cefea38e5b,2025-06-05,Delivered,Supreme Goods Inc.,Beast Mini Blender Plus,Kitchen & Dining,Blenders
7eaec960-6265-482e-8054-dac0758b1126,9b0ec2d2-440b-4a55-a828-7cea3e339a64,2025-04-27,Cancelled,Global Logistics Co.,Beast Mini Blender Plus,Kitchen & Dining,Blenders
40b22944-ba4e-4fef-8387-5feb5d5de2a0,38977c35-413c-4f6e-97d5-d4dd4137147c,2025-06-13,Cancelled,Prime Warehouse Solutions,Apple AirPods Max,Electronics,Headphones
c22a0fcc-e069-45bc-bd1e-1d5581690dee,1c602e3d-ef5e-48e3-9b5c-ddede06bab4c,2023-07-17,Pending,NextGen Logistics,Apple AirPods Max,Electronics,Headphones
f3706600-daa3-4ebb-bd02-2affce4c2537,df97f2f0-fddf-48d0-8271-93181f54ff25,2023-03-05,Cancelled,Supreme Goods Inc.,Hero Cosmetics Mighty Patch Original,Beauty & Personal Care,Acne Treatments
b23fd714-d29f-4ea2-869c-c265e09e0c09,65490ef1-9c7e-4cbc-873d-880babddf151,2022-10-22,Pending,ABC Electronics,KitchenAid 5-Quart Tilt Head Stand Mixer,Kitchen & Dining,Stand Mixers
d436ddea-7581-478f-9d62-080f60b2539d,bef4447f-bc2b-46c6-891a-662582c56d56,2020-07-17,Cancelled,NextGen Logistics,Apple iPad (10th Generation),Electronics,Tablets
edbe763f-3180-4447-b347-28a371916885,36a2552d-c70d-4f5e-b4e1-ceeb9416368a,2021-02-13,Shipped,Tech Innovations Ltd.,Zulay Powerful Milk Frother,Kitchen & Dining,Milk Frothers
d0f4316e-9520-465c-9cca-662e393750a0,e29047d1-37e3-4f13-8989-a40a03d69301,2024-04-03,Cancelled,Global Logistics Co.,KitchenAid 5-Quart Tilt Head Stand Mixer,Kitchen & Dining,Stand Mixers
b2931fd0-6f28-4537-80e6-1723380206f3,26980b98-00fc-4870-816f-357f46e9f63f,2020-09-04,Cancelled,Prime Warehouse Solutions,Sol De Janeiro Hair & Body Fragrance Mist,Beauty & Personal Care,Body Mists
d871f6ff-245e-46ec-a342-357eca8bf8ce,8b8cf2bd-03d7-4245-95aa-0eeac378f122,2023-09-19,Pending,Supreme Goods Inc.,Sol De Janeiro Hair & Body Fragrance Mist,Beauty & Personal Care,Body Mists
9fc81115-d742-4ea1-a04d-1c5c9e9b1b3d,a3326002-7107-48e7-9be5-0ae9efe98d2d,2024-10-11,Pending,Dynamic Distributors,Zulay Powerful Milk Frother,Kitchen & Dining,Milk Frothers
f29b8bbb-e18e-4a67-bbfd-e37a2bcaa879,f2f524ee-cf56-4200-b522-fdd5f1a30716,2022-01-19,Delivered,Express Shipping Corp.,Apple iPad (10th Generation),Electronics,Tablets
247c020e-5550-4e3a-8acd-2ff3dd32df3b,ca520707-8abb-42d2-b5e6-c5ddc0dcc912,2022-05-01,Pending,Elite Retailers,Mielle Rosemary Mint Growth Oil,Beauty & Personal Care,Hair Oils
f03d64a4-c590-4fce-bd2d-ac094a6673a3,c4ec753d-4b34-43eb-bec0-05d22d54b095,2024-01-30,Shipped,Prime Warehouse Solutions,essence Lash Princess False Lash Effect Mascara,Beauty & Personal Care,Mascaras
07559af2-e713-4515-9ab0-abbf44d9485a,da54c1f3-9c91-4472-96f7-b5a638d08e8f,2022-11-10,Pending,Worldwide Imports,essence Lash Princess False Lash Effect Mascara,Beauty & Personal Care,Mascaras
7f5cc919-9bed-427e-92d9-743c4d73d036,086ed790-c091-4f44-810c-254f18bc6b31,2024-11-18,Delivered,NextGen Logistics,KitchenAid 5-Quart Tilt Head Stand Mixer,Kitchen & Dining,Stand Mixers
ada8e52c-e226-4f85-bef7-321178ca90bf,fac717ce-3426-4cfb-8be2-e82cd206564f,2022-06-29,Delivered,Supreme Goods Inc.,Owala 40-ounce FreeSip Insulated Stainless Steel Water Bottle,Health & Household,Water Bottles
3fa47b25-92c9-41a8-8ba6-4b3b8d47189e,883e6fbb-e12f-4506-8451-541bb75eebbd,2024-07-16,Shipped,Supreme Goods Inc.,Le Creuset Stoneware Mugs,Kitchen & Dining,Mugs
e6b21fd8-f615-4f2b-a4ec-c70824f44755,88040974-c5a2-4cdc-ac0e-64804bdf4514,2024-05-22,Shipped,Supreme Goods Inc.,Apple AirPods Max,Electronics,Headphones
cf55a4c8-2468-414c-b5b0-44b336fcb33a,458eaf58-b83c-4b07-8d0d-e9c3502a845f,2020-04-07,Cancelled,Express Shipping Corp.,essence Lash Princess False Lash Effect Mascara,Beauty & Personal Care,Mascaras
e7d6bf4c-dde4-47c7-ba51-438f70f38760,fe4ff6ea-2cee-48cb-82a5-a9e2b69a7c9b,2025-06-14,Shipped,Elite Retailers,Dyson V15 Detect Plus Cordless Vacuum,Home & Kitchen,Cordless Vacuums
274cc36d-8b6d-4826-8abb-4be66f0b7bd6,e98a716c-aeb5-4665-8574-615ef547dcfe,2024-12-15,Shipped,ABC Electronics,Beast Mini Blender Plus,Kitchen & Dining,Blenders
522557ad-2942-4983-91c4-20a62ba93d3d,502743c9-9089-46f8-a6cd-6da7b4b60796,2024-07-17,Cancelled,Supreme Goods Inc.,Lumineux Teeth Whitening Strips,Health & Household,Teeth Whitening
90b5adfe-10b4-43c8-a814-cc642a9b198f,572c00d0-c68f-4055-867a-4804191aca94,2024-01-09,Delivered,NextGen Logistics,Hero Cosmetics Mighty Patch Original,Beauty & Personal Care,Acne Treatments
c6aa9afb-239b-4345-a283-7bfb8449b157,850dabc5-af82-4a28-9cd3-cb0d700ce3fb,2024-10-24,Delivered,Global Logistics Co.,Hero Cosmetics Mighty Patch Original,Beauty & Personal Care,Acne Treatments
41699a5b-3a4e-41a6-b9dc-4bd32c877e2f,f600f92d-fe74-4b79-aaef-706b46e2f477,2020-04-25,Shipped,Supreme Goods Inc.,Dyson V15 Detect Plus Cordless Vacuum,Home & Kitchen,Cordless Vacuums
54add858-90ff-425a-8aa4-a7aee0ac7bac,db8f6143-d0b1-42d6-95b2-20eec7f8c6cc,2021-08-07,Delivered,Express Shipping Corp.,Bissell Little Green Multi-Purpose Portable Carpet and Upholstery Cleaner,Home & Kitchen,Carpet Cleaners
09a43216-eb3f-413c-9f4d-f54f3b9b932a,c0b52dd8-9501-4263-9d41-68eb988f5a33,2025-08-04,Cancelled,Tech Innovations Ltd.,Bissell Little Green Multi-Purpose Portable Carpet and Upholstery Cleaner,Home & Kitchen,Carpet Cleaners
80f943b9-7209-4664-88c8-b47b67ee0c2a,fd932660-0bd0-4326-a5f6-380800af3a5d,2021-02-08,Cancelled,Worldwide Imports,Apple iPad (10th Generation),Electronics,Tablets
dcc51e33-54c4-42b5-b8d6-318e552a125b,ad1a6f98-493b-43f9-886d-fb412365c7f4,2023-01-12,Cancelled,Dynamic Distributors,Bissell Little Green Multi-Purpose Portable Carpet and Upholstery Cleaner,Home & Kitchen,Carpet Cleaners
4d2ea5ac-7120-436f-b711-1bd04871110e,4749c64d-b49c-4fd9-9258-1733a0729137,2022-02-03,Shipped,Worldwide Imports,Apple AirPods Max,Electronics,Headphones
3f11466d-48fe-4846-85c5-8b2cd0534f97,f5a044b1-f1d0-4e9f-85f7-9291ecef3165,2025-08-20,Cancelled,ABC Electronics,iRobot Roomba 692 Robot Vacuum,Home & Kitchen,Robot Vacuums
b5ed1c9e-f445-4053-9e6c-40e51c2b6e7e,d8b87009-e1b4-441d-90c9-2942cf48fa4e,2020-03-29,Pending,Global Logistics Co.,Hero Cosmetics Mighty Patch Original,Beauty & Personal Care,Acne Treatments
641780f0-9b98-4190-b997-969a0baf86fe,9a8fae6b-9ef6-49be-b1d6-fa87e70c6d7a,2025-07-16,Delivered,ABC Electronics,Le Creuset Stoneware Mugs,Kitchen & Dining,Mugs
4f6780fb-ca3a-459f-8870-717dc8ea96e0,e3f24af8-a4fe-4eb6-931d-47d80b180553,2020-05-31,Pending,Supreme Goods Inc.,Dyson V15 Detect Plus Cordless Vacuum,Home & Kitchen,Cordless Vacuums
057d8195-86f6-4cf4-96e3-16d5337e41c8,eebb2f69-5f7f-40db-80f9-32e2f77392fb,2024-07-22,Pending,NextGen Logistics,Sol De Janeiro Hair & Body Fragrance Mist,Beauty & Personal Care,Body Mists
cbeb01d8-9554-414b-b197-9a1ab6a47e40,132c90a4-ed33-432e-b385-1e30735a3950,2023-07-27,Delivered,Express Shipping Corp.,Le Creuset Stoneware Mugs,Kitchen & Dining,Mugs
a196c6d5-65bc-411b-9c0b-a6c1807834ad,e077ceb4-990c-449b-bf5e-0ff96342555e,2021-05-24,Pending,Prime Warehouse Solutions,Owala 40-ounce FreeSip Insulated Stainless Steel Water Bottle,Health & Household,Water Bottles
9d87eeb8-55a1-4149-99b4-feee988b3446,cdc96755-22b9-4704-920c-316676d2e41d,2024-11-23,Pending,Worldwide Imports,Hero Cosmetics Mighty Patch Original,Beauty & Personal Care,Acne Treatments
397207b1-4889-428a-9377-29d9a6787114,92c6d229-3c99-4e38-8413-21540f6ab6c1,2023-05-12,Cancelled,Dynamic Distributors,Owala 40-ounce FreeSip Insulated Stainless Steel Water Bottle,Health & Household,Water Bottles
d9ebfcfd-329b-425c-8edd-e4b302f12026,4ae3ef35-00ea-4277-b8b1-0b7414c826e4,2025-06-13,Cancelled,Supreme Goods Inc.,MEATER Plus Long Range Wireless Smart Meat Thermometer,Kitchen & Dining,Meat Thermometers
3259e909-07d2-4b19-91e5-7adb9928da0a,126c1b81-f249-4da9-bacf-f3b418b30ecb,2024-11-16,Delivered,Prime Warehouse Solutions,Chom Chom Roller Pet Hair Remover,Pet Supplies,Pet Hair Removers
a0025358-c4c9-4fa1-8b3e-7046589b52ef,bb773d38-4fa2-46cb-9948-b3189912a8d2,2021-10-21,Pending,Express Shipping Corp.,essence Lash Princess False Lash Effect Mascara,Beauty & Personal Care,Mascaras
869f8fd5-0485-4abb-ac9d-2984ad531585,484afb79-ea7b-4dbe-b491-ea9b36a45d79,2020-05-27,Pending,Dynamic Distributors,Hero Cosmetics Mighty Patch Original,Beauty & Personal Care,Acne Treatments
6340481b-c313-4648-b0bb-302af797682e,6778f003-9503-41e3-b8f2-af4fced97e97,2020-05-09,Cancelled,Elite Retailers,Hero Cosmetics Mighty Patch Original,Beauty & Personal Care,Acne Treatments
15972111-696a-4624-8dac-fa4761888768,d4b621c8-6e79-4bf3-b256-4353d58534d6,2023-03-27,Cancelled,Supreme Goods Inc.,Apple iPad (10th Generation),Electronics,Tablets
e43f2f7a-abc8-4b90-9a5e-c0938f081bdb,59a60556-6c42-4c32-ab7a-e8444945d712,2024-12-06,Cancelled,Global Logistics Co.,essence Lash Princess False Lash Effect Mascara,Beauty & Personal Care,Mascaras
a7b98889-b804-4d20-b2d6-c203e0d5628d,dbc77e7f-b460-41d1-955e-7153a76acb29,2023-01-27,Pending,NextGen Logistics,KitchenAid 5-Quart Tilt Head Stand Mixer,Kitchen & Dining,Stand Mixers
d23e2d10-64f3-4291-a2e8-b6f0937f6767,ca9158cf-47c4-407f-985a-630d4de14a07,2020-06-26,Cancelled,Elite Retailers,Beckham Hotel Collection Bed Pillows,Home & Kitchen,Bed Pillows
e0ea4c25-3d84-4ebe-94d7-4c117ad7e8fc,853e861b-77f4-4ae8-95eb-c0f69fd17c4d,2023-11-17,Cancelled,NextGen Logistics,Le Creuset Stoneware Mugs,Kitchen & Dining,Mugs
c43d94fa-3ca1-436b-8ac8-7023c920cc53,74c92b97-0900-404d-9fab-932eb8427665,2022-08-09,Shipped,Dynamic Distributors,KitchenAid 5-Quart Tilt Head Stand Mixer,Kitchen & Dining,Stand Mixers
3e3f7062-d2b5-4d35-8538-43cdce1a2d3c,ed9eab47-ed16-479a-9321-f839a1f113ab,2023-07-17,Shipped,ABC Electronics,Beckham Hotel Collection Bed Pillows,Home & Kitchen,Bed Pillows
1703efb0-84cf-49b7-852f-d71eb4c5b39e,9bcc606d-d5a0-476f-847b-5347ac2ce9ee,2022-12-28,Pending,ABC Electronics,Apple AirPods Max,Electronics,Headphones
06cd34d1-4f03-44fa-a456-832710c2d1f2,87f41008-2864-447c-b82d-6d7c151e9d07,2025-05-12,Cancelled,NextGen Logistics,Beast Mini Blender Plus,Kitchen & Dining,Blenders
fc2e6b37-9489-4caa-b849-4eb541608659,56c4d476-e480-41f6-be6e-82333640764f,2021-06-26,Shipped,NextGen Logistics,Hero Cosmetics Mighty Patch Original,Beauty & Personal Care,Acne Treatments
642dda64-21d2-4cae-a16f-30a0f87c34a1,d6612867-bc2c-476e-bfea-2582093d2fb1,2023-10-02,Pending,Worldwide Imports,Beckham Hotel Collection Bed Pillows,Home & Kitchen,Bed Pillows
8a8ca7ca-3c6b-4049-8e48-f9f26090bd42,f8375390-87db-4b49-88b8-bf321e1c22f9,2025-04-14,Pending,Supreme Goods Inc.,Hero Cosmetics Mighty Patch Original,Beauty & Personal Care,Acne Treatments
52374ffc-8341-447a-b0d3-a3e407508148,28cfad9d-e98f-4005-bfed-8b4d97939e28,2024-06-01,Pending,Prime Warehouse Solutions,Dyson V15 Detect Plus Cordless Vacuum,Home & Kitchen,Cordless Vacuums
2c7acecf-f613-4a99-a009-7ad5bd07dfde,50687dc7-11b5-467f-81c2-5ba94b2e3d02,2022-06-09,Cancelled,ABC Electronics,COSRX Snail Mucin 96% Power Repairing Essence,Beauty & Personal Care,Facial Serums
a6cdc677-bf34-4c18-a2ca-dd9fbd9c0b5d,8d3c1e5d-2715-48a7-af39-5d914586f2db,2023-03-01,Delivered,Global Logistics Co.,Le Creuset Stoneware Mugs,Kitchen & Dining,Mugs
e7f4dcc1-ec1d-40a6-a2ea-3ef05f613e48,3330fae6-5dad-4463-9ad6-3d1bad428a30,2022-01-10,Cancelled,NextGen Logistics,COSRX Snail Mucin 96% Power Repairing Essence,Beauty & Personal Care,Facial Serums
133e28df-04fc-4ac7-a819-0bc83fa47152,afe5f74a-3252-4832-b2ad-6bdf2a1c40a6,2020-06-12,Delivered,Supreme Goods Inc.,Lumineux Teeth Whitening Strips,Health & Household,Teeth Whitening
77406ea5-0238-44f7-954a-0383e0a21b61,1eef409c-1814-4648-8fbb-ff000afb8c0c,2024-09-11,Shipped,Elite Retailers,Lumineux Teeth Whitening Strips,Health & Household,Teeth Whitening
a186185e-d6d9-4ccc-b345-cac0b75f6451,42b097fd-f0a2-42eb-b592-20e12c6dd4da,2020-03-14,Shipped,Worldwide Imports,Apple AirPods Max,Electronics,Headphones
275dc67f-4675-4790-9d1b-a8f6f3866476,e8d4379e-d4d3-466e-aff1-7a0f872f2358,2022-06-08,Delivered,Dynamic Distributors,essence Lash Princess False Lash Effect Mascara,Beauty & Personal Care,Mascaras
ebbdbd9e-f6de-405f-9fc6-a7eaafbef82c,ce68987a-8779-4e94-b187-77fc7a1b5a7c,2025-07-27,Pending,Express Shipping Corp.,Zulay Powerful Milk Frother,Kitchen & Dining,Milk Frothers
50f5608a-9b33-4453-b261-0c0a206ef4ea,6ea51f78-a12c-4d91-b6bc-63fe70d32977,2022-06-02,Pending,Elite Retailers,Sol De Janeiro Hair & Body Fragrance Mist,Beauty & Personal Care,Body Mists
ba7346ee-93de-40d7-8e25-3a44091344d7,de99579f-2fe9-40bd-8b10-43df0289565d,2024-09-20,Cancelled,Prime Warehouse Solutions,COSRX Snail Mucin 96% Power Repairing Essence,Beauty & Personal Care,Facial Serums
9289a6ff-6325-424d-a2a3-64f94410a558,f3ea4ce4-bad3-4e0a-8f81-af5dcc466404,2020-03-17,Pending,Tech Innovations Ltd.,Beast Mini Blender Plus,Kitchen & Dining,Blenders
47f545a0-5bca-4f6e-b7cc-8bf7c642dfae,0aa36cea-5172-4fab-b2cf-b179c4c182c8,2023-08-04,Cancelled,Prime Warehouse Solutions,Apple AirPods Max,Electronics,Headphones
8b1023fd-cc9d-4fd6-bd40-f89925f6eae0,f4851952-2234-4b76-9c01-82905defd5b1,2022-07-07,Delivered,Worldwide Imports,COSRX Snail Mucin 96% Power Repairing Essence,Beauty & Personal Care,Facial Serums
00a538d8-b1e0-47a0-ae53-12a8823f358f,6066f3ae-9c23-41a9-b94c-ff07455cc922,2023-10-15,Cancelled,Worldwide Imports,Le Creuset Stoneware Mugs,Kitchen & Dining,Mugs
58c88ee3-afdd-4224-8529-decdfb513764,c606d478-b44f-43b7-9532-36da89413ee3,2022-12-24,Shipped,Elite Retailers,Hero Cosmetics Mighty Patch Original,Beauty & Personal Care,Acne Treatments
edb22dad-dc23-4343-a489-90fd5d47a743,2a9b016a-fa07-400e-8c73-abc4f12cb56c,2023-06-05,Cancelled,ABC Electronics,Apple AirPods Max,Electronics,Headphones
d660c0bc-74ce-4657-98b6-c8f621841a2c,801f7e33-0392-473f-85d9-8c2a92fa623e,2025-03-12,Cancelled,Supreme Goods Inc.,Chom Chom Roller Pet Hair Remover,Pet Supplies,Pet Hair Removers
62d873e5-89ed-450f-b296-06b064517824,dae51bd2-63c4-4cd6-8508-60d0aa32fd33,2024-11-02,Delivered,Tech Innovations Ltd.,Le Creuset Stoneware Mugs,Kitchen & Dining,Mugs
a01373d7-54e4-4c54-8cd3-efedd97df5f7,a6db2663-5772-4e2f-b878-1462a1d22bc8,2025-06-06,Delivered,NextGen Logistics,Apple AirPods Max,Electronics,Headphones
d35ef07d-5492-4bc1-b0dc-c60c8ee280fe,73eab002-2749-4a0d-832b-a3f7a0c87930,2024-11-14,Shipped,NextGen Logistics,Lumineux Teeth Whitening Strips,Health & Household,Teeth Whitening
42ca1ed1-fb70-4252-9bc3-69fcee5d07b4,37ed7d33-fe8e-4ce7-b3bd-157434362a6d,2024-08-09,Delivered,ABC Electronics,essence Lash Princess False Lash Effect Mascara,Beauty & Personal Care,Mascaras
e293ce3c-445a-4bf6-a761-1588f8af8774,6e9835c6-d888-492e-bb1c-5ebddb021b34,2024-03-18,Pending,NextGen Logistics,COSRX Snail Mucin 96% Power Repairing Essence,Beauty & Personal Care,Facial Serums
70ef7969-b81d-42d6-8708-5a21b08f3c88,998ff084-d649-4b6c-b98c-68a12048392c,2023-04-16,Cancelled,NextGen Logistics,Hero Cosmetics Mighty Patch Original,Beauty & Personal Care,Acne Treatments
c6c81da2-e882-490a-adaa-86c2886f8f30,25a38571-f478-4783-a74e-136c3c50caaf,2021-08-07,Cancelled,ABC Electronics,KitchenAid 5-Quart Tilt Head Stand Mixer,Kitchen & Dining,Stand Mixers
67cbd03e-655f-4216-b10a-714cc9f4ae64,0b36bbca-71d2-479b-b645-1b832acd28a5,2023-05-06,Delivered,Prime Warehouse Solutions,Apple AirPods Max,Electronics,Headphones
f6bd4bad-10f1-4c07-af39-d1284deabbf3,c54923b7-f755-45c2-9c36-99b0be68e85d,2021-10-28,Pending,Global Logistics Co.,Apple iPad (10th Generation),Electronics,Tablets
91e32ef5-b6dd-4b79-b196-acc4efb7a6b3,d980d9fd-2a65-4323-97dd-930978fd186e,2022-01-20,Delivered,ABC Electronics,COSRX Snail Mucin 96% Power Repairing Essence,Beauty & Personal Care,Facial Serums
d45e51c7-1047-49fa-a82c-96878a645f45,b21437ea-ffea-4c0b-bd05-64ce2752d0ca,2024-12-19,Delivered,Worldwide Imports,KitchenAid 5-Quart Tilt Head Stand Mixer,Kitchen & Dining,Stand Mixers
6ab70d0c-9886-4011-8930-a74552db9f8d,2e8e50c8-c3b5-4c38-9a10-25a390aaab5f,2021-07-29,Pending,Global Logistics Co.,Beast Mini Blender Plus,Kitchen & Dining,Blenders
7849c64f-b042-42ea-b593-76a7b7880689,0789244f-635d-4f9e-b8c1-ea37ab1374bd,2022-04-23,Cancelled,Elite Retailers,Owala 40-ounce FreeSip Insulated Stainless Steel Water Bottle,Health & Household,Water Bottles
